,Date,Ship to,seq01,seq02,seq03,seq04,seq05,seq06,seq07
0,2019-01-10,30000162,1.7706790000000001,1.7487486,1.7118447,1.7114208999999998,1.7235339,1.7274185000000002,1.7132926
0,2019-01-09,30000162,1.7487486,1.7118447,1.7114208999999998,1.7235339,1.7274185000000002,1.7132926,1.7177422999999998
0,2019-01-08,30000162,1.7118447,1.7114208999999998,1.7235339,1.7274185000000002,1.7132926,1.7177422999999998,1.7570474999999999
0,2021-04-29,30043703,2.0810598999999996,2.0660157999999997,2.0470165000000002,2.035963,2.012055,2.0263574,1.9779057
0,2021-04-28,30043703,2.0660157999999997,2.0470165000000002,2.035963,2.012055,2.0263574,1.9779057,2.0274522
0,2021-04-27,30043703,2.0470165000000002,2.035963,2.012055,2.0263574,1.9779057,2.0274522,2.0906302
0,2021-04-26,30043703,2.035963,2.012055,2.0263574,1.9779057,2.0274522,2.0906302,2.183296
0,2021-04-25,30043703,2.012055,2.0263574,1.9779057,2.0274522,2.0906302,2.183296,2.1936785
0,2021-04-24,30043703,2.0263574,1.9779057,2.0274522,2.0906302,2.183296,2.1936785,2.1748557
0,2021-04-23,30043703,1.9779057,2.0274522,2.0906302,2.183296,2.1936785,2.1748557,2.1607298999999998
0,2021-04-22,30043703,2.0274522,2.0906302,2.183296,2.1936785,2.1748557,2.1607298999999998,2.1647203999999998
0,2021-04-21,30043703,2.0906302,2.183296,2.1936785,2.1748557,2.1607298999999998,2.1647203999999998,2.1566334
0,2021-04-20,30043703,2.183296,2.1936785,2.1748557,2.1607298999999998,2.1647203999999998,2.1566334,2.1570218
0,2021-04-19,30043703,2.1936785,2.1748557,2.1607298999999998,2.1647203999999998,2.1566334,2.1570218,2.1477694
0,2021-04-18,30043703,2.1748557,2.1607298999999998,2.1647203999999998,2.1566334,2.1570218,2.1477694,2.14279
0,2021-04-17,30043703,2.1607298999999998,2.1647203999999998,2.1566334,2.1570218,2.1477694,2.14279,2.1328313
0,2021-04-16,30043703,2.1647203999999998,2.1566334,2.1570218,2.1477694,2.14279,2.1328313,2.1208949
